Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
Pact arim des alpes de haute provence - pact arim 04;Défense et amélioration du cadre de vie;Digne-les-Bains;18, avenue des charrois;04000;;;Publiée;Déclarée;20/11/2007;12/06/2015 (System);Non;;;d6458f35-d399-41cc-a3dd-178501628940
Pais alp - association des producteurs fermiers paysans de haute-provence;Economie;Digne-les-Bains;Chambre d'agriculture, 66, boulevard gassendi;04004;paisalp@free.fr;;Publiée;Déclarée;;14/04/2016 (System);Non;;;2aa42776-b962-4575-a5ac-f598eecabfae
Palais des expositions;Sports;Digne-les-Bains;1 place republique;04000;centreculturel.digne@caramail.com;0492311521;Publiée;Déclarée;;17/04/2014 (System);Non;;;06e7f389-d934-4566-a683-02f4c682ff9a
Parapente;Sports collectifs;Barrême;Le village;04330;parapente@wanadoo.fr;0492343400;Publiée;Déclarée;;23/04/2014 (System);Non;;;3c03d595-f24f-4bfc-afb4-3639145da043
Parti socialiste, federation des alpes-de haute-provence, federation du parti socialiste français pour les departements des basses-alpes;Politique;Digne-les-Bains;63, boulevard garaudi;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;1492386c-6283-4f90-97f8-150a1c8f88bd
Pele vtt du 04;"Groupements d'entraide et de solidarité; Social Entraide; Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;13,, avenue paul martin;04000;;;Publiée;Déclarée;20/01/2015;08/06/2015 (System);Non;W043002200;;8dd6cf1b-c5b0-43dd-994d-a3ecdfed1e80
Pgdg developpements;"Amicales; Education, Formation, Recherche; Associations d'étudiants, d'élèves";Digne-les-Bains;Lycée pierre gilles de gennes, espace saint christophe;04000;;;Publiée;Dissoute;20/01/2010;22/08/2016 (System);Non;W043000628;;8a22669b-4c54-402b-b8e4-332cf930feeb
Phiphi team;"Sports mécaniques; Sports individuels; Sports; Automobile";Digne-les-Bains;Les hostelleries de gaubert;04000;;;Publiée;Déclarée;24/03/2000;21/06/2015 (System);Non;;;febb5944-d7ce-4e45-86bf-7441a56ed1fc
Plume-en-ciel;Théâtre;Digne-les-Bains;22, Chemin des Baumelles;04000;;0492347022;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;be0bfa1c-0459-4f23-91dc-a95fdd32840e
Points a la ligne;Travaux manuels;Bras-d'Asse;Route du vieux bras;04270;;;Publiée;Déclarée;20/02/2016;19/04/2016 (System);Non;W043002310;;980c8288-7a78-4c5f-850c-6f5e1ccc32a8
Pole eco-habitat 04;"Comités de locataires, de propriétaires, de logement ; Social Entraide; Logement";Digne-les-Bains;13, montée st lazare;04000;;;Publiée;Déclarée;21/01/2013;09/06/2015 (System);Non;W043002000;;2ba542ec-6dc2-4ed3-a9bb-bac0ef8397bd
Pole social;Logement;Digne-les-Bains;18, rue aubin;04000;;0492360708;Publiée;Déclarée;01/01/1900;23/04/2014 (System);Non;;;16dfd06f-d5d1-4113-ac1a-6c0bacf4fb86
Pole sud 04;"Association à but commercial, développement économique; Economie; Représentation, promotion et défense d'intérêts économiques";Mézel;Le clos palus-de-beynes;04270;;;Publiée;Déclarée;;08/06/2015 (System);Non;;;5ceaaade-8510-43de-82c7-56e29a7774bb
Potes of the top;"Photographie, cinéma; Chant, Chorale; Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;12 avenue Georges CLemenceau - Rocasoleil BAT C1;04000;potesofthetop@gmail.com;;Publiée;Déclarée;20/06/2015;22/08/2016 (Chloé SOUDIN);Oui;W043002250;81357809300011;9a46e7b0-8ac0-44da-a42f-5bc7ba9f81dc
Pour le developpement durable et raisonne de champtercier;"Comités de défense, comités de sauvegarde; Environnement, Développement durable; Protection de sites naturels";Champtercier;Hubac du chandourène;04660;;;Publiée;Déclarée;20/06/2012;17/04/2016 (System);Non;W043001941;;bf61ccba-6722-44a0-8589-c3d7220906b7
Pour un pays dignois, territoire de sens;"Economie; Interventions sociales; Art et Culture";Digne-les-Bains;Les lavandes, avenue henri-jaubert, la sèbe;04000;;;Publiée;Déclarée;24/07/1998;04/06/2015 (System);Non;;;d991fea5-b121-40e6-88d9-33481190aabd
Preambulle edition;"Arts graphiques et plastiques; Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;34, boulevard gassendi;04000;;;Publiée;Déclarée;20/07/2009;14/06/2015 (System);Non;W043000467;;e278c3d9-d6e2-4e79-bb4c-75e5b3513b9d
Presence - association dignoise de tai chi chuan et chi qong style yang originel;"Centre d'enseignement et de formation; Sports; Education, Formation, Recherche";Champtercier;Les plaines;04660;;;Publiée;Déclarée;15/01/2001;08/06/2015 (System);Non;;;31cd1b54-96b3-4fc1-be88-afeafecfd511
Presence - association dignoise de tai chi chuan et chiqong style yang originel;"Recherche; Sports; Information et Communication";Champtercier;Trois bassins, les plaines;04660;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;f8af6088-1414-4962-b302-568e35d104bb
Presidence de la liberte;Défense des droits fondamentaux, activités civiques;Digne-les-Bains;11, rue de la liberté, les augiers;04000;;;Publiée;Déclarée;20/02/2000;16/06/2015 (System);Non;;;0949938b-7e2a-4965-94dd-c26a971c6804
PRÉVENTION ROUTIÈRE;Sécurité routière;Digne-les-Bains;Grand Pont;04000;preventionroutiere04@sfr.fr;0492316165;Publiée;Non déclarée;;16/04/2015 (sandrine Fabry);Non;;;bfe7236e-54f1-43a9-a5fd-19d8f76a67f4
Profession sport provence-alpes-cote d'azur;Sports;Digne-les-Bains;Sport objectif plus, imm. le riviéra, 5, avenue de verdun, b.p. 129;04000;;;Publiée;Déclarée;26/10/1999;08/06/2015 (System);Non;;;906dd30d-e3d8-4d98-8ba5-006dfd510d48
Promosport auto 04;"Recherche; Sports";Marcoux;Le clos de jaune;04420;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;cb7796ab-8e86-4ab0-813a-ccc59082cdda
Promosport auto 04;Sports;Digne-les-Bains;15 Rue Notre-Dame la Belle;04000;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;0bd15b00-453c-48f7-b8cb-4b279f2d2c2f
propriétaires des résidences de la bléone;Interventions sociales;Digne-les-Bains;2 Avenue René Cassin;04000;;0608325016;Publiée;Déclarée;;07/10/2015 (Elias Administrateur Galoo);Non;;;00c16408-d0f9-40e0-bc71-92a683256c67
Proserpine;Défense des droits fondamentaux, activités civiques;Aiglun;Centre phytoparc, la lauze, chemin des terres-rouges;04510;;;Publiée;Déclarée;;04/06/2015 (System);Non;;;f10f7ffd-373d-4c72-96ef-d88953992c2d
Provence auto sport;"Sports mécaniques; Sports individuels; Sports; Automobile";Digne-les-Bains;16, chemin sainte-thérèse;04000;;;Publiée;Déclarée;20/01/2000;16/06/2015 (System);Non;;;dad00225-51d6-49aa-bae5-9bd0bda40123
Provence canyon;"Montagne; Loisirs; Nature/Montagne";Digne-les-Bains;13, rue paul-rouit;04000;;;Publiée;Déclarée;20/07/2007;12/06/2015 (System);Non;;;8368d6b6-006b-46b6-9044-20d1bd736844
Provence culture & terroir (P.C.T.);"Préservation du patrimoine; Représentation d'intérêts régionaux et locaux; Economie; Art et Culture; Représentation, promotion et défense d'intérêts économiques";Digne-les-Bains;17 Rue du 19 Mars 1962;04000;;;Publiée;Déclarée;20/11/2014;09/06/2015 (System);Non;W043002184;;94bf03f9-f319-4a27-98fe-c41aed8686d7
Provence encore, provence toujours;Promotion de l'art et des artistes;Bras-d'Asse;Quartier le brusquet;04270;;;Publiée;Déclarée;20/10/2016;23/10/2016 (System);Non;W043002381;;43d242f0-0478-4315-ba8a-603c2858a6b4
Provence spectacles;"Recherche; Art et Culture";Digne-les-Bains;3, rue notre-dame-la-belle;04000;;;Publiée;Déclarée;20/03/2003;15/04/2016 (System);Non;;;6a3afe12-5766-4178-9c12-c548f279fa9b
Provence sport promotion;"Sports; Art et Culture";Mézel;Domaine de préfaissal;04270;;;Publiée;Déclarée;20/12/2004;10/06/2015 (System);Non;;;d818f4e9-24c3-4e8a-a74f-dca601489cc4
Quatres ailes dignoise;"Associations caritatives à but multiple; Social Entraide; Humanitaire et Caritatif";Digne-les-Bains;21,, rue du prévôt;04000;;;Publiée;Déclarée;30/11/2011;17/04/2016 (System);Non;W043001890;;e7de1c0c-0c17-4d44-80b3-c67c68e02a7f
Racket (REALISATION D'ACTIONS COMMERCIALES KOLLOSSALES ET TORRIDES);Economie;Digne-les-Bains;Le moulin-ii, rue du 19-mars962;04000;;;Publiée;Déclarée;;03/06/2015 (System);Non;;;91e835aa-4458-4746-ae9a-59d26000699d
Raid v.t.t. nature;"Recherche; Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;10, avenue saint-jean-chrysostome, lotissement le mexico;04000;jcze7@tiscali.fr;;Publiée;Déclarée;;15/04/2016 (System);Non;;;cbe205a0-4e05-44b4-abb5-01ddf85c76a3
Raidazimut sudalpin;Sports;Digne-les-Bains;2, rue liberé, les augiers;04000;;;Publiée;Déclarée;20/01/2002;14/04/2016 (System);Non;;;0c1a5367-9424-4a9b-958c-aff941e8cd5a
Rallye 04;"Sports mécaniques; Sports individuels; Sports; Automobile; Rallye";Digne-les-Bains;Bar du soleil, 1, rue lavoisier;04000;rallye04@fr.st;;Publiée;Déclarée;20/04/2001;22/06/2015 (System);Non;;;94ba50e7-ba22-4d02-ae98-beda506d8ad6
Rallye team mezelien;"Recherche; Sports; Actions socio-culturelles, centres de loisirs ; Information et Communication";Estoublon;4, rue du four;04270;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;979a30ca-6513-492e-95d2-669463b2172d
Rando lavande;Loisirs;Digne-les-Bains;43 route le chaffaut;04000;randolavande@orange.fr;0672939265;Publiée;Déclarée;;24/04/2014 (System);Non;;;6c829a9d-0611-4234-92a6-aba3eb252409
R.c.b. music;"Musique; Chant, Chorale; Activités artistiques; Art et Culture";Digne-les-Bains;23,, avenue des thermes;04000;;;Publiée;Déclarée;20/03/2012;17/04/2016 (System);Non;W043001922;;3d23a4c3-d136-4aca-bf51-af146321d516
Reagir;Autres catégories;Digne-les-Bains;C.f.a., chambre des métiers, 15, rue maldonnat;04000;;;Publiée;Dissoute;;07/06/2015 (System);Non;;;1191d95b-929f-4691-9c7c-11fbbacb1048
Realisation actions commerciales kollossales et torrides (R.A.C.K.E.T.);"Social Entraide; Interventions sociales; Education, Formation, Recherche";Digne-les-Bains;Le moulin-ii, rue du 19-mars962;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;5c336739-74a5-4ec1-b8f3-57221b5aba3e
Regroupement - enquete - maison de garde digne durance carrefour (R.E.M.G. D.D.C.);"Organisation des professions médicales et paramédicales; Santé et Protection civile; Education, Formation, Recherche";Digne-les-Bains;2, avenue françois-cuzin;04000;;;Publiée;Déclarée;;12/06/2015 (System);Non;;;515f6a68-e785-4be2-80cc-2c2301ac4fec
Rencontre - Accueil Club les Gavots;Loisirs;Digne-les-Bains;Boulevard martin bret;04000;avf.digne@wanadoo.fr;0492311775;Publiée;Déclarée;;27/03/2015 (sandrine Fabry);Non;;;5c56546a-e291-4555-99de-4fe409a6aacd
RENCONTRES CINEMA DE DIGNE;Cinéma;Digne-les-Bains;1 Boulevard Martin Bret;04000;;;Publiée;Inconnu;;09/09/2016 (Jean-Christophe LEONARD);Oui;;;d37422a3-772f-4ce9-a3b6-6120428990cc
Rencontres cinematographiques de Digne-les-Bains et des Alpes de Haute-Provence;Cinéma;Digne-les-Bains;Centre Desmichels - bp 82;04000;cine-dignelesbains@wanadoo.fr;0492322933;Publiée;Déclarée;01/01/1900;21/08/2015 (Florie Viguier);Oui;;;c9780104-2b6c-4848-a748-115775bf6dd8
Renovateurs de saint-pancrace;"Recherche; Actions socio-culturelles, centres de loisirs ; Interventions sociales";Digne-les-Bains;Etoile des alpes a, rue des eaux-chaudes;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;6b2fff15-f30c-4497-8b6f-2e9cdf326e98
Renover maintenant 04;Politique;Digne-les-Bains;14, avenue henri-martin;04000;;;Publiée;Déclarée;20/03/2006;10/06/2015 (System);Non;;;a8b0ab9a-10a3-462b-8ed8-9e4e312497da
Repas services plus;"Social Entraide; Humanitaire et Caritatif; Secours financiers et services aux personnes en difficultés";Digne-les-Bains;24,, boulevard victor hugo;04000;;;Publiée;Déclarée;29/03/2010;15/06/2015 (System);Non;W043000699;;61ac06cd-62a9-45be-9435-17f328c47c1f
Res04pat;"Santé et Protection civile; Vétérinaire,Médecine animale";Digne-les-Bains;Rue n. niespe-za st christophe;04000;;;Publiée;Déclarée;20/01/2011;16/06/2015 (System);Non;W043001805;;3d4df2cc-2853-410e-adcb-bd4dcef9648a
Reseau d'alcoolemie et d'addictions de haute-provence (R.A.A.H.P.);"Service et établissements médico-sociaux; Santé et Protection civile; Prévention et lutte contre alcoolisme, tabagisme, toxicomanie ";Digne-les-Bains;13, boulevard victor-hugo;04000;;;Publiée;Déclarée;;12/06/2015 (System);Non;;;db08a06d-0041-4aaa-9db1-208d30616945
Reseau d'alcoologie et d'addictions de haute-provence (R.A.A.H.P.);"Service et établissements médico-sociaux; Santé et Protection civile; Interventions sociales; Prévention et lutte contre alcoolisme, tabagisme, toxicomanie ";Digne-les-Bains;13, boulevard victor-hugo;04000;;;Non publiée;Dissoute;20/03/2003;15/04/2016 (System);Non;;;acd32044-ffaa-45b8-830b-84fafe867acf
Reseau des parcs naturels regionaux de provence-alpes-cote d'azur;"Comités de défense du patrimoine; Education environnement et développement durable; Protection de sites naturels";Moustiers-Sainte-Marie;Maison du parc naturel régional du verdon, domaine de valx;04360;;;Publiée;Déclarée;20/12/2015;18/04/2016 (System);Non;W043002293;;a84deef6-8f06-4456-bbb9-cf120e0142ec
Reseau ville hopital vih;Autres catégories;Digne-les-Bains;Centre hospitalier, service de médecine charles-romieu;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;a818caad-f87f-42f9-bc3b-be576ca77ea9
Reseau ville-hopital (VIH 04);"Santé et Protection civile; Interventions sociales";Digne-les-Bains;Centre hospitalier, service pneumologie, site charles-romieu;04000;;;Publiée;Déclarée;19/02/1998;03/06/2015 (System);Non;;;23e4ffa0-de6c-4f6b-9e75-7d350bc0eadd
Reseau ville / hopital vih vhc 04;"Santé et Protection civile; Social Entraide";Digne-les-Bains;Z.i. saint-christophe;04000;;;Non publiée;Dissoute;04/02/1998;12/06/2015 (System);Non;;;d26db7df-6cd3-451d-b3d5-58423ad0ecc1
Reseaux 04;"Actions socio-culturelles, centres de loisirs ; Interventions sociales; Art et Culture";Digne-les-Bains;Roca soleil, bâtiment c 1, rue des genêts;04000;;;Publiée;Déclarée;20/04/2003;15/04/2016 (System);Non;;;ec6603f6-0b24-4d80-9541-582d4641e7e7
Réserve Géologique de Haute-Provence;"Comités de défense, comités de sauvegarde; Insertion, Aide à l'emploi, vie locale; Social Entraide; Environnement, Développement durable; Protection de sites naturels";Digne-les-Bains;Quartier Saint-Benoît;04000;contact@resgeol04.org;0492318334;Publiée;Déclarée;;25/03/2015 (Elias Administrateur Galoo);Non;W043000579;;6e26392e-131b-46dd-b69d-5f8aea2c2467
Roller-tour (04);Sports;Digne-les-Bains;11, rue curaterie;04000;;;Publiée;Déclarée;19/09/1998;04/06/2015 (System);Non;;;e545584b-6d5f-4ebe-8903-e0583bb507b5
Rugby club dignois;Rugby;Digne-les-Bains;Centre desmichels;04000;;;Publiée;Déclarée;01/01/1900;09/09/2015 (Florie Viguier);Oui;;;430f62f1-5cb4-403e-b463-00dac6cb8495
S'event'medika;"Organisation des professions médicales et paramédicales; Santé et Protection civile";Aiglun;19, rue des acacias;04510;;;Publiée;Déclarée;20/12/2012;18/04/2016 (System);Non;W043001988;;5c0f9177-ccb4-48cc-8264-d72598cd37e2
Saldii;"Loisirs scientifiques et techniques; Loisirs";Digne-les-Bains;8,, boulevard gassendi;04000;;;Publiée;Déclarée;20/05/2014;09/06/2015 (System);Non;W043002121;;4c6dc321-0405-4615-8e1e-084d073f6ab1
SALS à DIGNE;"Salsa; Danse";Digne-les-Bains;Collège Maria Borrely;04000;;;Publiée;Déclarée;;20/09/2016 (André CHETRITT Président SALSA DIGNE);Oui;;;c23a6df6-cdba-4c35-85c5-e8977b1beb4b
Samourai club;"Sports individuels; Sports de combats; Sports";La Robine-sur-Galabre;Quartier les lauzes du villard;04000;;;Publiée;Déclarée;20/01/2016;19/04/2016 (System);Non;W043002308;;726e281f-30aa-4e5a-b044-3e1d3c762ed4
Sans deco fixe;"Aériens; Sports individuels; Sports; Vol libre; Actions socio-culturelles, centres de loisirs ";Barrême;Grand-rue;04330;paraglandeurs@9online.fr;;Publiée;Déclarée;01/09/2004;16/04/2016 (System);Non;;;339c2b5e-e63c-44cd-9ae5-82b837f5366a
Sans retenue;"Théâtre; Activités artistiques; Art et Culture";Digne-les-Bains;39 Les Hostelleries;04000;;;Publiée;Déclarée;22/01/2010;15/06/2015 (System);Non;W043000640;;d808e64b-8085-480f-9a28-0be879db8091
Sauvegarde du patrimoine architectural dignois;"Préservation du patrimoine; Art et Culture";Digne-les-Bains;13,, avenue du maréchal leclerc;04000;;;Non publiée;Dissoute;;09/06/2015 (System);Non;W043000411;;eedd67b9-8794-4601-a4fa-9107fdab68c8
Sauvegarde et mise en valeur du patrimoine de gaubert;"Comités de défense, comités de sauvegarde; Comités de défense du patrimoine; Préservation du patrimoine; Environnement, Développement durable; Art et Culture; Protection de sites naturels";Digne-les-Bains;60, route du chaffaut, gaubert;04000;;;Publiée;Déclarée;20/06/2009;14/06/2015 (System);Non;W043000458;;c2b5e66d-452c-426f-9868-0aaa508db1c2
SECOURS CATHOLIQUE CARITAS FRANCE;Social Entraide;Digne-les-Bains;18 Rue Georges Aubin;04000;equipe.digne.050@secours-catholique.org;0492347852;Publiée;Déclarée;;09/11/2015 (Raphaël  Galoo);Oui;;;0f5f664f-63fb-467c-aff6-476c386bcb3f
Secours populaire français;Humanitaire et Caritatif;Digne-les-Bains;18, rue aubin;04000;spf.fede04@wanadoo.fr;0492360313;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;32f5cd11-1ef0-486a-9b7b-cd2c1aade200
Secours populaire français federation departementale des alpes-de-haute-provence;Interventions sociales;Digne-les-Bains;6 Rue Grenette;04000;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;3be96019-c080-4e84-94d9-38231031680d
Section force ouvriere - cgt de la prefecture et des sous-prefectures des alpes de haute provence;"Groupements de salariés à caractère syndical; Economie; Représentation, promotion et défense d'intérêts économiques";Digne-les-Bains;8, rue du docteur-romieu;04016;;;Publiée;Déclarée;20/11/2007;12/06/2015 (System);Non;;;08766ee9-8bb2-4b38-a86a-08f0dc6b2378
Sek'so phonik;"Activités festives (soirées); Loisirs";Bras-d'Asse;Lieu-dit le grand courtier;04270;;;Publiée;Déclarée;20/01/2013;09/06/2015 (System);Non;W043001999;;8c5d75e9-bcd3-4d35-b371-cada3a3c0886
Service Animations Ville de Digne-les-Bains;Loisirs;Digne-les-Bains;Place du Général de Gaulle;04000;thierry.farinotti@dignelesbains.fr;0492305639;Publiée;Inconnu;;23/03/2016 (Jean-Christophe LEONARD);Oui;;;ff788b35-bae5-4218-aefc-73936d82c6ef
Service communication ville de Digne-Les-Bains;Information et Communication;Digne-les-Bains;Place du Général de Gaulle;04000;service.com@dignelesbains.fr;0492305200;Publiée;Non déclarée;;11/04/2016 (Jean-Christophe LEONARD);Non;;;a6dddb0d-2d01-4fe2-9657-4c13e71b3d09
Service de remplacement alpes de haute provence;"Environnement, Développement durable; Ressources naturelles";Digne-les-Bains;66 Boulevard Gassendi;04000;;;Publiée;Déclarée;;15/06/2015 (System);Non;W043000779;;294529fb-ffb9-4838-a061-842e1b7a9fc3
Service des sports Ville de Digne-les-Bains;Sports;Digne-les-Bains;6 Avenue du Maréchal Juin;04000;smjs@dignelesbains.fr;0492315813;Publiée;Inconnu;;20/07/2016 (Danielle NEVIERE);Oui;;;855d0aa4-f2b5-43fd-8f89-c8997f6305ea
Service intercollectivites territoriales d'information et de documentation;Art et Culture;Digne-les-Bains;Hôtel du département, 13, rue du docteur-romieu;04003;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;f80928e5-1f9a-437a-8e2c-da7c1e864ea6
Service jeunesse Ville de Digne les Bains;Loisirs;Digne-les-Bains;Place du Général de Gaulle;04000;marielle.blanc@dignelesbains.fr;;Publiée;Inconnu;;03/06/2015 (Marielle  Blanc);Oui;;;8a024433-9356-48c2-9588-cff7436000a7
SGDF Groupe Guynemer ( Scouts et Guides de France);"Actions socio-culturelles, centres de loisirs ; Education environnement et développement durable; Associations socio-éducatives, scoutisme; Mouvements éducatifs de jeunesse et d'éducation populaire";Digne-les-Bains;Espace Chastan;04000;sgdf.digne.groupe@gmail.com;;Publiée;Déclarée;;16/09/2015 (Florie Viguier);Oui;;;cc2b86c4-7db0-49c4-b327-0bb27fc53fcb
Shanti;"Social Entraide; Interventions sociales";Digne-les-Bains;15, rue de l'ancienne-mairie;04000;;;Publiée;Dissoute;20/03/2002;14/04/2016 (System);Non;;;5e1bbcc5-8961-426a-a346-a1d93b112848
Shiai trophy;Sports mécaniques;Bras-d'Asse;Chemin de l'Ecole;04270;;;Publiée;Déclarée;20/06/2016;26/06/2016 (System);Non;W043002353;;c7f2676d-740b-4223-92e8-a5ced0bc0f30
Sipasi T'ika;Musique;Digne-les-Bains;Le Prieuré St Martin Gaubert;04000;musiques-tradi@wanadoo.fr;;Publiée;Déclarée;;26/03/2015 (Alexandre Siahou);Non;;;7179ce91-83c8-4c28-81be-b0f51bf2fb64
Six baies molles;Chant, Chorale;Champtercier;Le village;04660;;;Publiée;Déclarée;20/02/2016;19/04/2016 (System);Non;W043002316;;067d39c8-6556-4b35-8972-90a9dec9e366
Ski montagne dignois;Ski Alpin;Digne-les-Bains;Centre desmichels;04000;courrier@skimontagnedignois.fr;0492346740;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;945a67c8-7269-4a3b-8f36-c231c7097aca
SMIL'SONG;Musique;Digne-les-Bains;lycée Alexandra-David-Neel, 17, avenue du Général-Leclerc;04000;shiva.m.1@caramail.com;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;8045d6a0-4e44-4a52-971f-19b3d8fc5765
Sobudo takeda-ryu barrêmois;"Budo; Sports individuels; Sports; Autres arts martiaux; Arts martiaux";Barrême;2 Les Condamines;04330;;;Publiée;Déclarée;20/06/2001;22/06/2015 (System);Non;;;8b7b32c9-5943-46db-b3ba-fc0e793e7c12
"Societe communale de chasse de majastres ""la majastrone""";"Loisirs; Chasse; Chasse Pêche";Majastres;Le village;04270;;;Publiée;Déclarée;20/08/2013;09/06/2015 (System);Non;W043002061;;95158a12-0860-4f6f-81e2-cedcab3dedda
Societe de chasse de courbons “la perdrix“;Chasse;Digne-les-Bains;33, chemin du rouveyret;04000;;0492313694;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;4d7c7e0c-9ed9-4015-af3f-c4722cfc3926
Societe de chasse de gaubert;Chasse;Digne-les-Bains;60, route du chaffaut, gaubert;04000;;0492322867;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;9dde7f4f-b11f-4170-a61f-d7e8a80536ad
Societe de chasse de sainte croix du verdon;Chasse;Sainte-Croix-du-Verdon;Auberge de castellas;04500;;;Publiée;Déclarée;20/09/2015;18/04/2016 (System);Non;W043002261;;2fb1de44-7770-4990-8b56-ec35468f5bc5
Societe de chasse des dourbes;Chasse;Digne-les-Bains;Mairie des dourbes;04000;;0492322118;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;10b0fb45-e77c-4c90-8f16-60fff062c68d
Société de chasse L'Alpine;"Chasse; Chasse Pêche";Digne-les-Bains;Centre Desmichels;04000;;;Publiée;Déclarée;;26/03/2015 (Alexandre Siahou);Non;;;0304f1d3-afbe-4011-a9cb-2379f535bdf3
Societe de chasse l'entente de bellegarde;"Loisirs; Chasse; Chasse Pêche";Estoublon;Bellegarde;04270;;;Publiée;Déclarée;20/07/2011;17/04/2016 (System);Non;W043001861;;d971382d-1c97-477a-8543-6a3ebb68ca00
Societe de chasse sainte-anne;"Défense des droits fondamentaux, activités civiques; Sports; Loisirs; Chasse; Justice; Chasse Pêche";Digne-les-Bains;73, boulevard gossendi;04000;;;Publiée;Déclarée;19/02/1997;16/06/2015 (System);Non;;;6c1e42e0-8466-47af-95d4-e4df0ae4f564
Societe de tir sportif des trois vallees;Pistolet;Digne-les-Bains;Rue prévost;04000;;0492311435;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;b89237d2-0aa0-42d5-a43d-319c960871fd
Societe pierre gassendi;"Préservation du patrimoine; Art et Culture";Champtercier;Mairie, le village;04660;;;Publiée;Déclarée;20/10/2000;22/06/2015 (System);Non;;;f420498c-775e-46b8-b8a2-5f5a34dab852
Societe scientifique et litteraire des a.h.p;Préservation du patrimoine;Digne-les-Bains;Boulevard Martin Bret;04000;info@memoire04.org;;Publiée;Déclarée;01/01/1900;26/10/2016 (Chloé SOUDIN);Oui;;;2b989505-67a8-453c-bcfd-d08ed5f242ea
Societe vertige;Autres catégories;Digne-les-Bains;Rue de la grande-gorge, les sieyes;04000;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;7344db45-850e-49e3-92d6-efbe31b906d0
Sol'aria;"Environnement, Développement durable; Mouvements écologiques; Art et Culture";Digne-les-Bains;15, rue saint-jaume;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;b1e5b7eb-7851-4870-906c-22a0cb6c1b31
Soleus pacans;Economie;Moustiers-Sainte-Marie;Rue fouque;04360;;;Publiée;Déclarée;20/12/2002;15/04/2016 (System);Non;;;a1a81a87-c191-4ca6-bf46-a0f34c1c7ad1
Solidarite entraide novellini (S.E.N.);Interventions sociales;Digne-les-Bains;13 Rue Maldonat;04000;;;Publiée;Déclarée;20/11/2001;14/04/2016 (System);Non;;;aadf19f8-33c4-4ea6-a834-3db73b8b7564
Solidarites afrique-alpes du sud;"Groupements d'entraide et de solidarité; Social Entraide; Humanitaire et Caritatif; Amicale, groupement d'entraide, solidarité ; Art et Culture";Digne-les-Bains;1 Rue Léon Mariaud;04000;;0492347098;Publiée;Déclarée;;22/08/2016 (System);Non;W043000094;;5498ba68-2501-47f6-943a-7b8ce6d0e6cf
solidarités afrique- pays dignois;Social Entraide;Digne-les-Bains;1 Rue Léon Mariaud;04000;;0492347098;Publiée;Déclarée;03/11/2008;01/09/2015 (Florie Viguier);Oui;;;a2437796-a899-4ca4-a69c-2aff45c48dcd
Solidarites interculturelles 04;"Groupements d'entraide et de solidarité; Social Entraide; Amicale, groupement d'entraide, solidarité ; Actions socio-culturelles, centres de loisirs ; Jumelages, échanges culturels et linguistiques";Digne-les-Bains;15, rue curaterie;04000;;;Publiée;Déclarée;20/04/2009;14/06/2015 (System);Non;W043000367;;9735a6fa-deb9-4f59-87ca-3c94134eeb92
Souffle de vie;"Social Entraide; Humanitaire et Caritatif";Digne-les-Bains;30, rue beethoven, hameau de chantecle;04000;;;Non publiée;Dissoute;;17/04/2016 (System);Non;W043000991;;dce6e757-0ca7-4a3b-ae19-72db4811969d
Sous l'empreinte d'anaëlle;"Santé et Protection civile; Accompagnement, aide aux malades";Digne-les-Bains;13, rue maldonnat;04000;;;Publiée;Déclarée;20/11/2013;09/06/2015 (System);Non;W043002084;;80ef7dcc-0436-4045-ba12-1f75cb26a3b8
